HomeworkType,Difficulty,Subject,Length,StudyHours,PreviousCompletionTime,StudentFocusLevel,TeacherClarity,SubmissionUrgency,ResourcesProvided,CompletionTime
Presentation,Moderate,Computer Science,41,3.4518864744222264,217.36409121602554,0.7432261077121608,0.37215616627353,Low,Partial,86.02307461851687
Coding,Moderate,Math,19,0.6463137969908586,59.49703033863434,0.31619748988754703,0.14572233072004803,High,Partial,112.43169650226986
Essay,Hard,Computer Science,26,6.8434879358190415,213.40168460482332,0.4993942051830206,0.5214705323107467,Low,Full,62.95422663633118
Essay,Easy,Computer Science,29,13.29964851976462,138.6632479172921,0.3541311271383907,0.8678153547192129,High,None,180.7706298118069
Research,Easy,Math,22,1.2525636820159807,200.55227079590543,0.17285836250411932,0.9402224104060204,High,Full,293.0033993784611
Research,Hard,History,40,3.271221287692038,173.95457904801964,0.8889524443143024,0.9393419867532794,High,None,232.0157675293052
Math Problems,Moderate,Literature,21,4.9962258059699485,170.23987563045216,0.755982824039507,0.21270702306587208,High,Full,135.66522348422663
Coding,Hard,Science,38,11.110008680181087,84.59953576986281,0.3713167535129206,0.4438484942599513,High,Full,16.28377707938227
Coding,Hard,Computer Science,20,9.789216095637505,63.7962942386068,0.6394356935847877,0.12540588368563574,Medium,None,104.28366317438093
Research,Hard,Literature,29,6.531186616436898,58.50383236658127,0.2811374093210252,0.8696488104743255,Low,Full,165.12639699228134
Coding,Easy,History,4,11.506499619246448,207.1540811237054,0.9012129596161939,0.42288018581914644,Low,None,107.41149904781162
Coding,Hard,Science,7,9.339649669025079,198.6981686595746,0.20341570902571926,0.6680053251030112,Medium,Partial,46.64495306179997
Essay,Easy,Science,28,13.492591595029676,111.33191144283069,0.10345343095702081,0.7434085942695597,High,Partial,141.18801270563995
Research,Easy,Computer Science,28,12.361387862511048,40.453061104184556,0.5518073779652639,0.4868602027688399,Low,Partial,87.17705283522912
Presentation,Easy,Math,4,4.165797288293408,97.91801795481543,0.6248150411075823,0.37579810289521876,Medium,Full,274.1312272915279
Research,Moderate,History,22,4.4358593756959035,152.44899445148963,0.6210687882662239,0.9659916191043502,Medium,Partial,44.000040622789484
Presentation,Easy,Computer Science,12,2.3176688989895915,114.51272553038915,0.14906073469404368,0.9680394025214688,Low,None,29.00849918654246
Essay,Easy,History,45,5.385988522903119,189.44353175108884,0.3826394262265892,0.36049273122701975,Low,Partial,16.514538209135683
Math Problems,Moderate,Math,3,14.993386821426867,239.45324911781864,0.5492790521571986,0.5316625870700122,High,Partial,108.49986007841247
Coding,Easy,Math,22,6.383391944918385,53.96038034324627,0.2949212670645168,0.9755597427940201,High,Full,203.21024888725324
Essay,Hard,Computer Science,44,3.6970823029920425,115.71968852170166,0.8853632969373068,0.10438156688995291,Low,None,223.1679195713109
Coding,Hard,Math,2,11.55600182489552,109.12629744178906,0.17839836051529062,0.4714104235412343,High,Full,144.17957976379108
Math Problems,Easy,Literature,24,8.365829550208513,80.0332825322587,0.5386459975048385,0.1904117947128716,Medium,Full,210.033665379751
Math Problems,Moderate,Science,34,2.669221018140812,55.561968845666605,0.7222744517618368,0.5582421690063424,High,None,117.57550032137858
Essay,Hard,Computer Science,27,6.020000376832554,25.10918679262162,0.33557599012103423,0.12220295908643844,High,Full,205.32477269618582
Math Problems,Moderate,History,41,6.509810875320478,214.03744296145064,0.6618166632977663,0.4662085882515651,Medium,None,26.56985581117642
Presentation,Moderate,Literature,1,11.43053065825367,106.56520046785305,0.8464466351281371,0.2986291673068016,High,Partial,126.36460060159618
Math Problems,Hard,Computer Science,8,0.7997348489326147,124.28596925501124,0.2713032775855428,0.5799775262128667,Medium,None,240.39215812545606
Coding,Moderate,Math,23,4.400784878575502,220.89667108621063,0.9254985326423766,0.9963942841906297,High,None,243.85671868081536
Coding,Hard,Math,38,8.005146369075069,188.546809828668,0.5982026793961223,0.8204824946140729,Low,None,219.10240197957296
Coding,Moderate,Math,6,4.398277765566228,40.015290746952374,0.36930880387095455,0.8610778824619792,High,Full,73.20800686241137
Coding,Hard,Math,22,9.612293687575484,140.04659254978074,0.4877724478440437,0.6717384886231728,Low,None,85.45345889523047
Presentation,Easy,History,25,7.487078449481941,111.7180235994986,0.38097269540774914,0.13740386344503272,Low,None,298.885287270386
Research,Hard,Literature,18,5.74479869546392,193.35854669311544,0.7526000439399845,0.28611790843972973,Low,None,44.462732052558565
Essay,Hard,Science,17,14.263525089622426,176.5734859507483,0.816670597073619,0.9325581008023495,Low,Partial,66.48886918718668
Coding,Hard,History,12,9.666312738203633,168.79331603954654,0.8496436530867949,0.4295018061358761,Low,None,52.05748286028779
Math Problems,Hard,History,6,2.384149897885148,88.32531216037628,0.987191424627167,0.19327305383271604,Medium,Full,108.38166464983044
Coding,Moderate,Science,26,8.621329612929234,195.14165799182854,0.8121558632470152,0.7321648292795817,Medium,None,74.90011304166816
Math Problems,Easy,Science,27,11.820611871413064,22.04999798681808,0.641245663619707,0.36951195154082916,Medium,None,156.84106847111505
Math Problems,Hard,Math,8,10.77310061364556,46.713727329398466,0.4052982685526054,0.34197122161375454,Low,Partial,150.66590146083416
Coding,Moderate,History,19,2.9952938247812613,87.1933527849197,0.5901359038396745,0.9981797100024343,High,None,271.9291015436214
Presentation,Easy,Computer Science,42,14.600089986081498,27.665711445934694,0.1369613555113649,0.8723250325239889,Medium,Full,24.900885021762722
Math Problems,Easy,Science,1,7.007797863325787,64.04868383297907,0.7703425679769218,0.46714403653105696,High,None,106.16567935031256
Math Problems,Easy,Science,29,2.805862554233789,200.93472608952118,0.5013599905828916,0.9822350870348492,High,Full,185.0474992191707
Coding,Easy,Literature,45,3.112838434858145,228.09785369171823,0.11802090675896887,0.6851019010772923,Low,Partial,187.3685021255297
Math Problems,Hard,Computer Science,49,1.9244073867416671,80.05854182806381,0.15625624735936974,0.7678202066917842,Low,None,151.8359752690496
Math Problems,Hard,Computer Science,35,12.151012572306549,70.83863491743278,0.448719817439581,0.12836173877399043,Low,Partial,247.4646791321706
Coding,Moderate,Science,40,2.2694421676668055,74.37531001667818,0.6250793671165916,0.2094447334132514,Medium,None,32.875818853120755
Coding,Moderate,Math,14,2.3143162285553305,73.87539009069408,0.517783554056914,0.6697766138466146,Low,Full,247.41401319033875
Essay,Moderate,Literature,35,12.831838414032147,18.263941902773787,0.6572838855629394,0.9091215843845355,Medium,Partial,156.00495852417552
Presentation,Easy,Computer Science,48,5.496759224489614,223.19075965615485,0.5322648329122203,0.6613693534788361,Medium,None,53.12179809694562
Presentation,Easy,Science,45,0.9474396124670506,59.15057256117553,0.6955334609332121,0.22062240488709262,Medium,Full,267.4250453590362
Math Problems,Hard,Computer Science,20,1.2524818430169578,106.60093703872313,0.2972134582037208,0.20418404162169218,Medium,Partial,200.0302021691746
Presentation,Easy,Literature,49,2.5614714772064855,12.22798303042258,0.20155886846525928,0.8597673062416735,Low,None,61.61052074487969
Math Problems,Easy,Literature,13,3.594203545647498,207.32967091046314,0.6367905591630939,0.2253721048371229,Medium,Partial,24.590171168722584
Essay,Easy,History,38,10.144619816456878,178.16618922463095,0.5362205652426767,0.5682087644536229,Low,None,55.21624977480504
Coding,Moderate,Science,49,2.7812310600265095,227.75388808995174,0.12418088864044177,0.13340198796607206,Low,Full,188.50741865141217
Coding,Moderate,Literature,46,2.223678672067544,189.77156021517177,0.44243369694373225,0.17260279065205963,Medium,Full,66.09942704911381
Coding,Hard,History,49,11.588427551406047,82.152497771975,0.19551302694189593,0.7051134408785783,Low,Partial,79.34247633938301
Presentation,Easy,History,8,10.23030161596876,67.01087250753744,0.5782211485774257,0.720263269384765,High,Partial,22.164821840549543
Essay,Easy,Computer Science,43,6.812201211100925,170.47475073725738,0.45619991169438767,0.40732246594759813,Low,None,221.03524158800204
Presentation,Hard,Computer Science,20,8.464991686461508,93.74593825241487,0.6518367199927161,0.2940487887187403,Low,Full,245.95385393143957
Presentation,Easy,History,33,5.023768294733068,140.22945362310182,0.8250419968932144,0.8323392436815772,Medium,None,242.1017303800551
Essay,Easy,Computer Science,26,7.49625609341273,11.439218336088153,0.3697018154573417,0.29539290652290134,Medium,Full,51.356923138821
Essay,Moderate,Literature,39,7.846753410249814,24.233711386509306,0.9658918937485248,0.5878243626997417,Low,Partial,272.4408213057964
Essay,Hard,Math,21,6.114940432082391,133.13462647177977,0.582071050528817,0.9713879567766149,Medium,None,206.59946640011282
Essay,Hard,Literature,49,13.64529705474636,140.19647868307797,0.6564617188793092,0.2330671940761454,High,None,270.79565737740637
Coding,Hard,History,42,0.7328970422245891,182.83417722564903,0.7126051359031633,0.9467886407452379,High,Full,142.44074379123913
Research,Hard,History,43,11.84148331482307,40.3520235135112,0.7000583768718308,0.2646037477618018,Medium,Full,139.53213540885386
Research,Moderate,Literature,41,2.303551052999203,128.0321092640591,0.5598736687405559,0.6106988872209066,Low,Full,238.59290782519514
Essay,Moderate,Computer Science,9,12.064436727789392,54.72295821928838,0.4858878620032152,0.43930694076287014,High,Partial,41.5898888108719
Research,Easy,Computer Science,24,9.430722777312457,31.43510749941978,0.14840376775964012,0.9684357413516433,High,None,163.44910044094243
Research,Easy,History,37,12.727532318577834,104.41403263392756,0.11987726077106177,0.34618782610174326,Low,Full,253.3695071548993
Essay,Easy,Science,49,1.9139577217930133,47.567429060483164,0.4221650750794882,0.4596922018771783,Medium,Partial,251.60488047482784
Research,Easy,Computer Science,41,8.605219194446724,61.00985498423328,0.4002948015703234,0.9845741060698784,High,Full,287.49786405757516
Presentation,Moderate,Literature,17,7.765774263801858,83.0375533699854,0.4489256393551061,0.5828233520696259,Low,None,214.00768915620574
Math Problems,Hard,Computer Science,24,10.7398011529687,69.65933217093513,0.22453138079937102,0.5523671040591281,Low,Full,74.21462939032259
Math Problems,Moderate,Literature,21,8.247213002458299,30.14599840336767,0.7643514434831593,0.33200063938359214,High,None,20.779889744955533
Essay,Easy,History,39,8.340651223430012,30.680736317731526,0.871267973298615,0.7312272042793972,Medium,Partial,151.63350260872406
Coding,Moderate,Computer Science,41,6.729141181852937,54.44736550385868,0.9448431718366315,0.11293565659999988,High,Partial,161.40560170242833
Essay,Hard,Literature,39,4.978099148106442,21.628613230693958,0.5431260731676633,0.14456136673206418,Low,Full,83.47483658219546
Coding,Hard,History,13,7.492833238156787,154.08511452569323,0.7307791292128858,0.6394227284222225,High,None,50.53877243022691
Math Problems,Moderate,Science,11,2.2181392021418085,76.08514479704745,0.8699960110922852,0.40750711643660875,Medium,None,182.06932736429505
Essay,Moderate,Literature,46,14.441943415254729,74.34157258688633,0.4764619999841374,0.9579847349808644,Low,None,232.81286709688027
Presentation,Moderate,Science,19,10.858956072585675,86.35960767468599,0.37847151538339996,0.9128716216505071,Medium,Full,298.04891952319576
Research,Easy,Science,11,14.310773191973778,162.44314306823597,0.9430521002681411,0.7423356328090365,High,None,231.11624590499778
Coding,Moderate,Math,13,3.787547043784467,210.24579274120282,0.5641088959693659,0.8363310230150212,High,None,241.18523806284057
Research,Moderate,Computer Science,46,13.250444792559657,184.58999448779684,0.5475284979317903,0.700598664700924,Medium,None,190.6913502952073
Research,Moderate,Literature,45,12.227454776171308,177.33172295177184,0.26057448690714624,0.2130238924391446,High,None,295.98795780645503
Essay,Hard,Science,1,10.318709980636267,121.40997268819532,0.19733951311602108,0.7889890327202824,Medium,Full,197.38756975765259
Research,Hard,Math,40,9.562923198235483,169.5752781025047,0.8578961762351605,0.2891727718469618,High,Full,260.17218662391576
Presentation,Easy,History,44,5.089970146384115,137.13534464772414,0.6527198585687662,0.3910985695901771,Medium,None,284.54862417867236
Research,Easy,Literature,19,12.337956381992946,59.737621482901645,0.3932421256175038,0.8373107908921782,Medium,None,280.0096726426599
Essay,Hard,Science,12,7.77197419145614,57.975324580441665,0.27256259565123986,0.5828730475541034,Low,Partial,123.70337297825661
Presentation,Hard,Computer Science,8,1.5279278504236378,78.1701615813152,0.5999475521526683,0.8739466427650683,Low,Partial,37.418686619563715
Math Problems,Hard,Math,8,5.036515832399385,219.48461432305706,0.6255273603350218,0.2917317878589378,Medium,None,63.984005223685344
Research,Moderate,Science,45,14.06180792890725,135.90541328733696,0.28629424112055235,0.6470005947461984,High,None,31.87864203803313
Essay,Moderate,Computer Science,12,12.83486377877027,178.79823671042996,0.8662651731023265,0.17541187529343547,High,Partial,45.03812642630491
Math Problems,Hard,Science,48,14.737632622109818,89.70851475780594,0.175837929540266,0.6787548941860266,High,Partial,67.62560507970383
Math Problems,Moderate,Literature,33,9.605904047759422,103.77462725300181,0.42048377664977954,0.7862806339979813,Medium,None,112.2118802274095
Coding,Moderate,Literature,45,4.088896060535973,38.880083086567815,0.71234597238627,0.6264378045808495,Medium,Full,169.90879927389662
Presentation,Easy,Literature,26,2.860818220314525,49.397840298984185,0.34670832743728064,0.33960835134892925,Medium,Full,217.8293869161995
Research,Hard,Math,39,3.210259388822694,200.29200761001348,0.8449076753031446,0.12820840197298006,Medium,None,75.11429079035591
Essay,Hard,Literature,28,0.7870370460351885,144.51288528844287,0.7658810439403632,0.2075039955678572,Low,None,206.66888520786972
Coding,Moderate,Computer Science,5,6.164890609296118,87.63246715327836,0.8101205600933208,0.6600726811666235,Medium,Partial,215.7138362331896
Presentation,Hard,Science,8,3.275701367243366,194.65577806897556,0.20719588228904465,0.9409781951582624,High,Partial,174.207366006864
Coding,Easy,History,25,6.469004176622185,66.69957829673609,0.22649241519598864,0.28588096357480575,Low,Full,272.5310928926325
Presentation,Easy,Computer Science,27,14.057419261662098,234.48752067804688,0.35782636397012524,0.7615235341945888,High,None,46.633521967716035
Presentation,Easy,Computer Science,46,6.742833037854254,89.30804978161905,0.566269448677805,0.8798059569241373,Medium,Partial,65.47961541668955
Research,Hard,Literature,23,13.230775206280105,87.58151945478234,0.7732144690294621,0.56879396060276,Low,Full,137.16947495100317
Presentation,Hard,Math,30,9.27981911593021,81.7397382734422,0.8528778016848131,0.702339216259292,Medium,Full,51.11312954175808
Coding,Hard,Science,45,4.083407542590183,38.08564866258622,0.7339017843614624,0.8335137850085333,Low,Full,176.3944009613649
Presentation,Hard,Math,47,5.659894009258565,35.561543886362855,0.9357371933775745,0.33460764196653425,High,Partial,128.54413298368596
Research,Hard,Science,23,1.7168332694107264,159.06415794284837,0.7648691586543372,0.36720610684123867,Medium,Partial,96.10980144273675
Research,Easy,Science,49,5.335207607142152,211.2771502483508,0.37564109830415326,0.10056476496561056,Medium,None,63.44709671002662
Coding,Moderate,Math,47,10.324343709801244,191.8197173624849,0.3385731559047154,0.9667847178080222,Low,None,110.57139792923994
Math Problems,Easy,Computer Science,20,1.5456108474768102,42.454746624910754,0.7265732052709809,0.9257904051367103,Low,Full,188.26841498721745
Math Problems,Hard,Science,18,3.4783204229314255,135.48388801217527,0.2735835118206529,0.7881114373834873,Medium,Full,179.0987851034823
Presentation,Easy,Math,18,6.030895100493017,34.2860555746272,0.1834433297292429,0.17116841887898332,Low,Partial,61.63284005991664
Essay,Hard,Science,2,14.739718286731456,20.41776803100781,0.5790005873705746,0.5027526007295573,Medium,Partial,50.60214606108052
Presentation,Hard,History,4,11.880496432903763,160.96874765849645,0.8394774128010598,0.19170257857439754,Low,None,22.60287734352867
Coding,Easy,Computer Science,30,11.135557824135507,133.08503674648057,0.1912418582228772,0.11432824053651874,High,None,18.541294231270697
Coding,Hard,Literature,33,2.1847688696189667,28.865447598638298,0.8127021914161563,0.6545646686913376,Low,None,265.7459741801103
Coding,Moderate,Science,36,11.824440457417376,18.036026673377343,0.8304148039163932,0.9647464753721696,High,Partial,27.850323961536127
Coding,Hard,History,18,11.886397766982219,237.64397508414697,0.5340466000733892,0.9125812210889351,Low,Full,223.3980163138752
Coding,Moderate,Literature,37,9.21598908655276,16.90490639428653,0.15157927900943813,0.7270793334418639,Low,None,263.5157524298128
Research,Moderate,Literature,19,14.860245838976393,112.24149820153671,0.25713086612246777,0.1869765257483843,Medium,None,42.94648684030041
Math Problems,Hard,Science,47,5.216181635906003,126.06237565976998,0.7366836476457391,0.34674763390507013,Low,Partial,139.34590579241
Coding,Easy,Math,28,14.148450499506849,36.974433994102355,0.7406001504918546,0.3880510541967619,Low,None,289.2563502046688
Essay,Moderate,Science,40,13.763601166869302,48.88420904113474,0.9085197476508988,0.7868350519710051,High,Full,252.72951824922174
Essay,Easy,History,20,0.6664695663659788,90.91515147438108,0.6244175318991245,0.8220242613116027,Low,Partial,154.56564907948868
Essay,Moderate,Literature,49,7.02668963388476,185.1854515291424,0.21169663094239966,0.4465955106909284,Medium,None,232.33276714559256
Essay,Hard,Science,33,14.668011379247814,126.62895753386134,0.20927341495447493,0.4760955969558487,High,None,252.5126229630242
Research,Hard,Math,12,1.995259754917099,156.71743114718114,0.7490191216211413,0.1400581353485542,Medium,Partial,114.187684508785
Essay,Moderate,Science,15,8.442878068558132,236.5901476708552,0.265406198597111,0.36022304657688486,Medium,Partial,269.26358130793886
Coding,Hard,Computer Science,41,14.694883852096009,186.64125012203823,0.39554694965494486,0.506156659459876,Medium,None,149.0848961079897
Presentation,Moderate,Math,39,8.554683649534972,109.90314457248007,0.5384908062297226,0.20528474174673184,Medium,Full,165.42509861426655
Essay,Hard,History,2,3.2523218930962616,112.68164201320621,0.12228838981853608,0.5079407146795192,High,Partial,299.91667677922186
Research,Easy,Literature,29,8.94165683634255,152.31757771943114,0.3239371243179387,0.8678582310320203,Low,Full,255.34134535336597
Research,Hard,Science,41,3.4643883222684293,163.033997936348,0.4671006476565521,0.623188917752548,Medium,None,118.1044516452993
Essay,Easy,Math,10,8.035711811970021,125.16351294243441,0.3516726866438856,0.1710368695345711,High,Full,17.948494994719486
Presentation,Hard,Computer Science,2,1.573612159729046,158.31808124744538,0.22273329472080927,0.2725041869472469,Medium,None,193.45961103125998
Essay,Easy,Math,11,9.279498703608867,15.412473715242717,0.7552110320165777,0.5270899151427006,Low,None,215.61532644651072
Research,Hard,Computer Science,13,7.993454117358294,108.81325869627415,0.8318328896511864,0.42533843483963085,High,None,200.4787666908632
Math Problems,Easy,History,10,11.232339847041215,74.15575749689965,0.33173107852935235,0.42285431759148895,High,None,290.8407700815157
Coding,Moderate,Literature,14,9.645156831802383,39.710122405915385,0.796977545145673,0.5763407033292312,Low,Full,260.94674278966113
Research,Moderate,History,18,8.469290893695971,32.89569794601828,0.4469982079611825,0.6259563294305117,High,None,142.91703255648483
Essay,Easy,Science,9,10.501793314097757,148.73419809137351,0.5560172117686025,0.817175413248572,Low,None,32.91438392962857
Coding,Hard,Math,39,2.5871577467973474,130.42812584510068,0.8704009674038375,0.40686990711623616,High,Full,150.6767493080691
Essay,Easy,Computer Science,28,9.132715088249759,68.32434690916492,0.774958313622167,0.8249196547365281,High,Partial,211.4345456891766
Essay,Hard,Computer Science,3,2.9956037409302763,118.31851351767834,0.8246051661845599,0.4047501062013693,Low,Full,188.1972953446963
Math Problems,Moderate,Math,20,13.920072013852273,123.21343249195391,0.22316064992772114,0.14988969004711045,Low,Full,168.3690642976022
Coding,Hard,Math,6,1.490844520261261,54.852065500881636,0.16274748325035654,0.5987688859043121,High,Full,148.61340303434378
Coding,Moderate,Science,27,6.740433870516502,159.98140423277965,0.9040642561791884,0.6291120924053331,High,None,98.7221338128051
Math Problems,Hard,History,2,10.58906342600395,189.6114519688008,0.449050842613985,0.9410862210596741,Low,None,94.04382709151933
Research,Hard,Computer Science,29,7.141322069189751,192.03661440458936,0.3590917102627128,0.753455193456227,Low,None,157.56597149385354
Essay,Hard,Science,38,1.835381171877084,148.56806106179465,0.7522266288356421,0.9259953872449955,High,Partial,60.77189673244997
Presentation,Easy,History,3,8.523995733837257,127.67687397937324,0.8527740369218709,0.9175124892187086,High,None,112.09534571881845
Essay,Easy,Science,16,9.803662677996641,24.031642891240825,0.8762406597084709,0.6441166992324179,High,Partial,107.33409329237838
Essay,Moderate,Computer Science,30,10.70498850936236,76.20119873586934,0.38439742701270463,0.5749858588028028,Low,None,182.33284845149726
Research,Moderate,Math,40,5.912267309710004,31.452432758979075,0.8669911520815066,0.60169687044724,High,Full,34.004455603462006
Essay,Easy,Math,2,8.673069579917051,231.67932700204895,0.13684054993691086,0.980497726909523,Medium,None,251.4555738755521
Math Problems,Moderate,History,17,7.0349538866142405,41.06843363192496,0.144695342313747,0.795850922572263,Low,Partial,175.27783840955462
Math Problems,Easy,Literature,41,10.244812561907674,44.90834426575347,0.6611672756567389,0.19563931431315626,High,Partial,206.18560402114156
Coding,Hard,History,12,8.961576026209869,214.6026222160132,0.15679573220399162,0.8005855661032599,Low,None,215.38176257143834
Presentation,Moderate,Literature,35,8.123465183607456,227.1035051995853,0.39214825165914535,0.2534842440084033,Medium,Full,98.0729790001229
Essay,Moderate,Science,43,4.118103319154605,186.14067902402925,0.7054803876222316,0.5026154941050631,Low,None,149.05589670468694
Essay,Easy,Science,1,0.5292685073493918,11.243132444714071,0.40354020644880373,0.28941370495888086,High,None,287.53009742285514
Research,Moderate,Computer Science,45,3.0241842920157245,10.309642320009651,0.2616398032960863,0.7206247589799069,Medium,None,233.51099282909223
Math Problems,Moderate,Literature,15,2.1974576006504454,96.96317705111368,0.3532155596684575,0.889578762573732,Medium,Full,291.3237094386078
Presentation,Hard,Computer Science,26,7.011728802658728,42.980935102505285,0.5118177990253886,0.3613256968300129,High,Partial,227.68248836669216
Coding,Moderate,Math,37,9.377743186046747,14.228812694867376,0.5278472698199341,0.1738096670873689,High,Full,65.04603981692746
Math Problems,Hard,Literature,21,3.5897326259297184,116.73533856303608,0.8047002082124818,0.3686437882674669,High,Partial,33.39272689573272
Coding,Easy,History,49,14.116327891524213,226.90423640360345,0.7751379064883612,0.7051256721389749,Low,Partial,179.63350946510414
Research,Moderate,Math,31,0.5968908737463727,84.47850222755922,0.5111360241005217,0.395884114799005,Low,Partial,116.97678471524372
Research,Hard,Math,25,11.698364719897471,162.0623560386002,0.8611006141888943,0.35030095079842305,Low,Full,93.50550438937852
Essay,Easy,History,23,9.565469158191412,160.01413122046137,0.20281342473225628,0.26599167152583847,High,None,245.05513398124398
Presentation,Moderate,Math,24,5.916544615191388,67.74842384298859,0.32981801520601134,0.5477647841869902,High,None,119.59308111835499
Coding,Easy,Literature,38,1.2320896939799149,159.5978072294888,0.8451788171520264,0.3483539453414688,Low,None,105.34527637427662
Math Problems,Moderate,Computer Science,28,9.598555290872051,58.83681408598499,0.4401946347635378,0.7579093142255349,Medium,None,257.246464053168
Research,Easy,Math,21,6.091395936551897,38.06170512268448,0.9830634029144579,0.16896016179298246,Low,None,256.19189089864113
Essay,Easy,Literature,43,14.075873521491678,171.31815567872871,0.5196279533750519,0.6976297298001858,Medium,Full,116.56449176019113
Essay,Hard,Science,18,8.358856085901607,36.09138793390085,0.8127420606673876,0.31380401311099293,High,Full,252.26212978100037
Coding,Easy,Literature,36,14.124946913755869,239.28912027555174,0.46207633724413477,0.5403513349464428,High,Full,257.47186974480826
Research,Moderate,Computer Science,35,3.6970135553629095,52.194052264552745,0.4824581671561874,0.3574809298281345,Low,Full,135.8202024834549
Presentation,Moderate,Literature,45,11.023025700279497,146.65262843398523,0.44459483255576515,0.7504918084097161,Low,Full,33.944842109613894
Research,Hard,History,9,9.450110802306522,104.61615142489556,0.7471680584597306,0.9507763362264731,High,Full,15.45162367290693
Coding,Moderate,Computer Science,38,11.22141933255402,39.06887715330343,0.5927660956539951,0.9253691015228319,Low,Full,164.1383519233636
Coding,Moderate,Science,30,3.6126840276017833,16.404098742805083,0.9494003002315322,0.625083593629682,High,None,113.06151561055137
Research,Moderate,History,44,10.142420485447719,153.22842492735165,0.32580128488069426,0.5163492729312805,High,Partial,299.1825898351343
Coding,Easy,Literature,34,7.7215856993246,195.554239671499,0.19050645887509993,0.8364704584954437,Medium,Full,235.137134893776
Research,Easy,Computer Science,32,11.270962136141586,203.6636021465511,0.45393533658929375,0.714993726364957,Low,Partial,231.96350505986757
Math Problems,Moderate,Science,3,5.242147340201358,121.02409880769493,0.6550414368820984,0.2652077027952396,High,Full,287.244188961893
Research,Hard,History,3,13.405826869246162,188.81475745194868,0.8747190432239456,0.8388272922517002,Low,Full,268.00145339959647
Research,Easy,Science,28,1.7223690618645804,164.7548407023653,0.41157719801229486,0.48599595045523913,Medium,None,105.68343164507078
Coding,Hard,Literature,44,12.204245122472226,176.57854132480065,0.6884080760120155,0.2700870939740576,Medium,Partial,62.30635815710476
Coding,Moderate,Science,15,12.989134574318816,123.29777120101724,0.4151788129208972,0.3536176153568432,Low,None,227.57929554366243
Essay,Moderate,Math,41,12.350158514818908,155.68470025568922,0.6554976246950123,0.3407743272235081,Low,None,122.80805969961881
Essay,Easy,History,23,7.9345327167957524,195.2709601224931,0.8963271523275859,0.5672862771431141,High,Partial,149.8542057148226
Math Problems,Moderate,Science,40,6.856582210446039,101.5133603781153,0.3082218780334681,0.310933081610088,Medium,None,194.66335341332567
Essay,Easy,Literature,11,14.945803154610713,195.37514719954424,0.4638174778963353,0.21120983866141857,Medium,Full,273.7437129265436
