HomeworkType,Difficulty,Length,StudyHours,PreviousCompletionTime,Subject,StudentFocusLevel,SubmissionUrgency,TeacherClarity,ResourcesProvided,CompletionTime
Essay,Medium,4,8.41,66,Programming,6,High,1,Partial,39.87
Coding,Medium,12,4.38,77,History,3,Low,3,Full,127.38
Coding,Medium,20,5.93,45,History,1,High,1,Partial,251.39
Coding,Hard,15,7.95,106,Science,3,Low,4,None,202.46
Essay,Medium,11,4.89,119,History,10,Low,3,None,103.57
MCQ,Hard,18,6.02,114,Science,7,High,2,Full,131.29
MCQ,Easy,14,7.08,47,Science,10,Medium,3,None,80.19
Essay,Medium,14,8.01,90,Literature,2,Medium,4,Partial,144.21
Coding,Easy,13,1.54,74,Math,6,Medium,4,None,141.08
Coding,Hard,2,9.58,56,Literature,6,Medium,6,Partial,32.71
MCQ,Easy,4,3.31,19,Math,6,High,1,None,32.67
MCQ,Hard,5,8.01,140,History,3,Medium,8,Full,68.41
Essay,Medium,3,8.78,96,Programming,7,Low,4,Partial,52.4
Coding,Easy,11,4.92,59,History,10,Low,8,Full,51.18
MCQ,Easy,13,4.51,58,Math,6,High,8,Partial,72.61
MCQ,Easy,2,3.61,69,History,6,Medium,3,None,29.71
Essay,Medium,12,9.54,166,Literature,1,High,4,Full,122.5
Essay,Medium,13,3.51,85,Literature,9,Medium,5,Partial,99.35
Essay,Medium,3,7.65,141,Programming,9,Medium,6,Full,48.47
Coding,Medium,8,5.68,165,Programming,10,Low,4,Full,74.09
Coding,Hard,4,3.71,156,History,4,Low,5,None,107.96
MCQ,Medium,2,5.22,88,Programming,4,Medium,3,None,41.71
Essay,Medium,2,5.26,180,Literature,6,Low,6,Full,73.77
Coding,Easy,4,5.81,58,History,7,Medium,2,Partial,30.49
Essay,Hard,20,5.65,78,Literature,9,Medium,8,None,120.94
MCQ,Easy,5,1.79,59,Math,6,Low,3,Partial,63.24
MCQ,Hard,16,3.38,142,Literature,1,Medium,4,Full,259.87
Coding,Hard,5,6.96,86,History,1,Low,6,None,99.08
Essay,Easy,8,9.53,86,History,2,High,3,None,70.05
Coding,Medium,2,7.48,176,Science,9,High,3,Full,63.28
Coding,Easy,9,4.56,34,Programming,8,Low,2,None,75.67
Essay,Easy,13,1.01,32,Programming,9,High,5,None,102.46
Essay,Medium,11,7.22,163,Programming,7,High,7,Partial,97.81
Coding,Easy,3,4.51,143,History,9,Medium,1,Full,60.48
MCQ,Easy,14,2.38,54,Programming,9,Medium,6,Partial,93.66
Coding,Hard,12,4.93,87,Math,8,Medium,6,Full,73.98
Coding,Medium,6,9.54,101,History,7,Low,1,Partial,64.76
MCQ,Easy,12,3.38,168,History,5,High,9,Partial,93.01
Coding,Medium,19,9.52,130,Math,1,Low,3,None,256.33
Coding,Medium,17,1.61,155,Literature,8,Medium,4,Partial,197.12
Essay,Easy,15,3.34,153,Science,5,Low,10,Full,107.24
Coding,Easy,15,9.64,67,Science,9,Low,6,Full,61.04
Coding,Medium,18,4.93,129,Programming,8,Low,10,Full,88.61
Coding,Hard,1,7.34,50,Programming,4,Medium,9,Partial,26.75
MCQ,Medium,10,4.27,89,Math,1,Low,9,Partial,130.99
MCQ,Easy,3,4.54,134,History,1,High,8,Partial,53.89
Essay,Hard,6,5.77,172,Programming,6,Low,6,Full,87.99
Essay,Medium,9,9.57,85,History,3,High,8,Full,62.94
MCQ,Easy,9,8.27,75,Literature,7,High,10,None,53.41
Coding,Medium,17,4.72,40,Science,4,Low,7,Full,114.53
Coding,Hard,2,4.78,39,Math,10,Medium,5,None,16.62
Coding,Hard,20,9.93,88,Science,2,Low,5,None,233.92
MCQ,Hard,11,6.47,180,Science,10,Medium,8,None,96.55
Coding,Hard,20,2.95,120,History,5,Medium,6,Full,193.44
MCQ,Easy,13,7.75,105,Programming,6,Medium,4,Full,68.11
MCQ,Medium,1,4.59,89,Science,9,High,4,None,36.02
MCQ,Easy,5,2.29,167,Programming,7,Low,1,Full,81.33
Essay,Easy,20,3.64,34,Science,10,Low,9,Full,63.71
Essay,Easy,16,3.11,131,Science,10,Medium,5,Full,94.5
Essay,Medium,16,8.44,67,Science,8,High,3,Full,61.24
Essay,Easy,5,7.22,164,History,6,High,2,None,69.11
Essay,Hard,19,2.26,130,Programming,5,High,1,Full,232.42
Coding,Easy,11,6.09,26,History,2,Medium,3,Partial,98.76
Essay,Medium,8,2.95,122,Science,8,Low,10,Partial,81.55
Coding,Hard,11,4.68,61,Science,2,Low,2,Partial,202.09
MCQ,Medium,9,3.67,54,Science,1,Low,2,Full,142.17
Essay,Hard,4,8.98,70,Science,3,Medium,1,None,58.7
Essay,Hard,12,1.46,27,Literature,7,Medium,5,Full,106.31
Coding,Hard,2,7.12,167,Science,10,Low,7,Full,47.1
Essay,Medium,7,1.64,21,Programming,4,Medium,1,Partial,102.81
Essay,Easy,20,7.4,59,Programming,7,High,1,Full,82.5
MCQ,Medium,11,9.72,80,History,1,Low,10,None,96.89
MCQ,Hard,13,8.98,32,Literature,7,Medium,6,None,89.77
Essay,Hard,2,9.05,160,Literature,4,Medium,5,Partial,54.97
Coding,Easy,20,8.73,41,Math,9,Low,2,Partial,96.6
Coding,Easy,6,9.66,119,History,8,High,9,Full,36.51
Essay,Medium,19,9.85,57,Literature,4,Medium,10,None,95.71
MCQ,Hard,13,6.44,19,History,8,Medium,7,Full,62.03
Essay,Medium,18,9.77,20,Science,9,High,5,Full,41.66
Coding,Hard,20,5.41,130,Science,10,Medium,2,Full,129.19
Coding,Hard,18,3.57,158,Literature,2,Low,10,None,259.64
Essay,Hard,3,9.88,157,Math,5,Medium,2,None,68.48
Essay,Hard,12,8.39,175,Math,5,High,8,Partial,105.5
Coding,Hard,2,5.45,153,Science,6,Low,9,Partial,66.94
Coding,Hard,12,6.75,59,Math,8,Low,4,Full,74.31
Coding,Medium,5,2.32,67,Math,3,Low,5,Full,71.02
Coding,Medium,8,4.13,131,Literature,6,High,9,Full,61.86
Coding,Easy,3,1.86,175,Literature,8,Low,9,Full,71.07
Coding,Medium,19,8.88,150,Programming,8,High,9,None,96.66
Coding,Easy,3,7.27,84,Programming,5,High,3,Partial,46.34
Essay,Medium,17,7.64,43,Science,9,Medium,5,None,82.46
MCQ,Hard,18,5.74,153,History,5,Medium,1,Partial,215.93
Coding,Medium,15,5.49,39,Math,9,Low,5,Full,68.84
Essay,Hard,13,9.86,33,History,6,Low,9,Partial,52.84
Coding,Medium,10,6.43,173,Science,2,Low,5,Full,119.09
Coding,Easy,15,4.85,45,Programming,1,High,6,Full,106.34
Essay,Hard,11,9.86,96,Math,7,Low,5,Full,71.94
Coding,Easy,6,5.59,96,Science,3,Low,9,Partial,58.15
MCQ,Medium,4,4.74,59,Programming,4,Low,1,Full,55.51
Coding,Hard,7,6.53,79,Math,3,Low,10,None,86.36
Coding,Easy,14,8.02,29,Math,6,High,1,None,83.32
Coding,Medium,5,4.96,137,Programming,1,Medium,5,None,99.91
MCQ,Medium,10,4.04,137,History,4,Medium,3,Partial,131.01
Coding,Easy,4,6.83,164,History,1,Medium,9,Partial,78.77
Essay,Easy,18,1.24,175,Math,5,Low,2,None,305.09
MCQ,Easy,9,8.32,150,History,1,High,10,Full,78.11
Essay,Hard,17,2.57,96,History,6,Medium,7,Full,150.85
MCQ,Medium,11,4.49,106,Math,3,Low,10,None,109.32
Essay,Easy,19,2.63,173,History,10,High,3,None,163.9
Essay,Hard,3,5.76,35,Science,10,Low,2,Full,20.97
Essay,Medium,15,6.04,27,Science,3,Low,3,None,188.63
Coding,Hard,1,6.93,163,Math,3,High,10,Full,46.27
Essay,Hard,6,5.8,28,Math,7,High,5,None,40.64
Essay,Medium,2,5.28,23,Math,9,High,2,Full,17.68
Coding,Easy,16,1.08,48,History,10,Medium,2,Partial,125.17
Essay,Medium,9,6.04,84,Math,2,High,7,Full,65.65
MCQ,Medium,19,7.89,155,History,7,Medium,6,Full,104.18
Coding,Hard,9,8.23,15,Science,6,Low,9,Full,35.38
MCQ,Hard,5,1.46,112,Math,10,High,7,Partial,63.58
MCQ,Hard,18,7.18,123,Programming,9,Medium,7,Partial,118.97
MCQ,Easy,16,6.66,33,Science,10,Low,5,Full,51.52
MCQ,Hard,18,5.64,144,Programming,2,Low,5,Full,214.12
Essay,Medium,14,9.48,122,Science,10,Medium,7,Partial,73.21
Coding,Hard,1,2.41,83,Math,4,Medium,5,Partial,36.33
Coding,Easy,12,1.3,168,Literature,7,Medium,2,None,181.71
Essay,Hard,1,4.57,124,Math,8,Low,2,Partial,46.96
Coding,Medium,20,9.11,99,History,4,High,5,Full,100.67
MCQ,Medium,15,3.41,20,Programming,3,Medium,10,Full,83.9
Essay,Medium,3,6.49,49,Math,6,Medium,3,None,32.96
Coding,Hard,4,4.09,83,Science,8,Low,3,None,56.7
Coding,Medium,17,8.44,114,History,8,High,5,Full,74.14
MCQ,Medium,17,4.03,88,Literature,1,Low,8,Partial,216.65
MCQ,Hard,9,9.78,124,Math,3,High,8,Partial,89.31
Essay,Hard,9,8.23,42,Programming,6,Low,2,Partial,78.98
Essay,Medium,3,6.59,117,History,3,Low,4,None,69.72
Essay,Medium,2,5.29,20,Math,1,Low,2,Partial,34.3
Essay,Easy,19,7.12,70,History,10,High,1,None,99.25
MCQ,Hard,17,7.81,29,Programming,9,High,7,Partial,67.04
Essay,Hard,10,9.48,28,History,7,Medium,9,Full,39.86
MCQ,Easy,2,8.59,117,Math,4,Low,10,Partial,42.33
Essay,Hard,16,6.08,84,Literature,7,Low,6,Full,101.23
Coding,Hard,3,8.21,116,Math,7,High,2,Full,47.23
Essay,Easy,13,5.66,27,Math,9,High,9,Full,31.77
MCQ,Hard,1,7.53,69,Math,6,High,7,None,19.15
Essay,Hard,19,1.97,73,History,9,Low,7,None,196.45
MCQ,Medium,2,3.83,16,Math,1,High,4,Full,22.73
MCQ,Easy,16,8.14,45,History,6,High,1,None,95.72
Coding,Hard,7,7.98,120,Literature,1,Medium,8,Full,72.8
MCQ,Easy,2,1.83,69,Literature,5,High,4,Full,36.6
MCQ,Hard,15,4.56,154,Programming,1,Medium,1,Partial,319.5
Essay,Medium,17,6.7,55,History,5,Medium,5,Partial,115.68
Essay,Medium,9,2.67,134,History,5,Low,4,None,146.05
Essay,Easy,5,2.04,174,Science,2,Medium,3,None,131.01
Coding,Easy,20,7.25,52,Science,7,Medium,1,Full,83.01
Coding,Hard,10,5.81,74,History,8,Medium,2,Full,77.7
MCQ,Medium,11,6.35,167,Programming,7,High,6,Full,89.93
MCQ,Hard,1,6.82,101,Programming,3,Medium,5,Full,40.54
Coding,Medium,16,9.32,128,Math,6,High,3,Full,96.99
Essay,Hard,3,3.2,31,Literature,5,Medium,3,None,40.59
Coding,Medium,2,3.32,21,Literature,9,Medium,2,Full,22.11
MCQ,Medium,4,7.05,58,Science,7,High,10,Full,19.27
Essay,Medium,18,9.38,71,Math,8,Low,3,Partial,104.25
Essay,Easy,15,3.62,82,History,4,Low,7,Partial,124.85
Coding,Easy,8,9.8,114,Literature,3,Low,2,Full,82.8
Coding,Medium,16,1.38,180,Science,7,Low,5,Partial,208.49
Coding,Easy,19,1.28,176,Literature,9,Medium,10,Partial,122.42
Coding,Hard,14,7.95,140,History,1,High,7,None,172.03
MCQ,Easy,12,1.04,52,Literature,10,Medium,9,None,81.36
Coding,Easy,8,8.0,110,Math,2,Low,9,Partial,74.15
MCQ,Easy,13,1.1,144,History,6,Medium,10,None,131.28
Essay,Hard,14,4.24,76,Science,5,Low,2,None,212.32
MCQ,Hard,15,1.59,88,Programming,6,Medium,9,Full,121.38
Essay,Medium,9,9.63,103,Literature,7,Medium,10,Full,50.22
MCQ,Easy,6,2.92,89,Science,2,Medium,8,Full,56.5
Essay,Hard,1,3.49,55,Science,3,Low,3,Partial,31.81
Coding,Hard,9,9.4,177,History,6,Low,2,Partial,105.19
Essay,Medium,4,8.65,84,History,3,Low,7,None,52.26
MCQ,Medium,1,1.26,18,Literature,4,High,5,Partial,25.83
Essay,Medium,4,3.24,122,History,7,Medium,2,None,84.08
MCQ,Easy,4,4.65,176,Math,8,Low,9,Full,63.47
MCQ,Hard,8,4.82,46,Math,2,High,9,None,83.59
Coding,Hard,16,1.6,124,Programming,3,High,2,Full,255.14
Coding,Medium,7,3.3,143,Programming,7,Medium,8,Full,80.01
MCQ,Medium,19,2.45,154,Science,1,High,6,Partial,287.98
Essay,Easy,9,4.24,123,History,1,Medium,9,Partial,91.25
MCQ,Medium,3,6.73,138,Science,6,Medium,2,None,65.14
MCQ,Hard,11,2.64,131,Literature,2,Medium,5,Partial,209.66
Essay,Easy,3,2.42,137,Literature,1,High,5,Full,58.41
Essay,Medium,11,6.12,142,Math,1,Low,2,None,210.77
Coding,Hard,10,3.07,27,Science,10,Medium,4,None,97.93
Coding,Hard,19,1.14,63,Math,2,Low,3,Partial,462.72
Essay,Hard,7,5.77,139,Math,9,High,4,Partial,69.39
Essay,Easy,16,2.05,142,History,1,High,5,None,269.9
Coding,Easy,3,2.01,150,Science,6,Low,9,None,70.97
Essay,Hard,18,3.11,108,Science,5,High,2,None,270.47
Coding,Medium,11,5.02,159,Math,4,High,4,Partial,134.8
MCQ,Easy,7,8.36,37,Literature,9,Medium,2,Partial,41.62
Essay,Easy,3,9.19,79,Math,7,Low,5,Full,39.1
Essay,Hard,1,2.39,94,Literature,7,Low,10,Full,35.09
Coding,Medium,1,7.51,48,Math,7,High,1,None,13.5
Coding,Hard,13,7.46,135,Science,6,Low,5,None,146.29
Essay,Medium,6,7.76,158,Science,1,High,5,Full,93.43
Essay,Medium,7,8.92,96,Programming,8,Medium,3,None,54.33
MCQ,Easy,13,2.19,74,Programming,7,Low,3,Full,97.16
MCQ,Hard,6,3.29,168,History,3,Medium,7,Partial,110.89
MCQ,Easy,12,7.08,124,Literature,6,High,8,Partial,68.61
Coding,Easy,11,8.11,101,History,3,Medium,7,Full,70.36
MCQ,Hard,10,7.31,163,Literature,9,High,1,Full,86.74
MCQ,Hard,9,2.2,61,History,8,Medium,4,None,123.2
Essay,Easy,8,8.06,74,History,3,Medium,3,Full,56.38
MCQ,Hard,11,4.65,44,History,7,Medium,10,Partial,71.55
MCQ,Hard,13,1.4,102,Literature,8,High,6,Full,109.17
Coding,Medium,14,7.27,35,Science,7,Medium,7,Full,54.45
MCQ,Hard,1,8.28,136,Science,6,Medium,6,Full,52.66
Essay,Medium,20,2.55,111,Math,5,Medium,8,None,209.49
Essay,Hard,7,3.32,142,Programming,3,Medium,4,None,143.91
Coding,Medium,10,7.37,31,Literature,7,Low,6,Partial,51.46
MCQ,Hard,7,8.74,171,Programming,1,Medium,7,Full,96.32
Essay,Hard,13,9.37,36,History,9,Low,5,None,73.35
Coding,Medium,5,9.05,51,History,6,High,8,Partial,37.28
Essay,Hard,18,8.49,15,History,4,Medium,1,None,189.73
MCQ,Easy,7,4.22,115,Math,2,Medium,5,Partial,85.09
Coding,Hard,5,8.19,62,History,10,Low,4,Full,32.23
MCQ,Medium,20,7.93,91,Math,5,Medium,5,None,151.59
MCQ,Medium,2,5.64,137,Programming,1,Low,8,Full,63.22
MCQ,Medium,8,5.19,19,Math,6,High,1,Partial,51.58
MCQ,Medium,7,2.2,78,Literature,5,Medium,10,Partial,59.54
MCQ,Hard,12,2.67,53,History,6,High,9,None,101.62
MCQ,Easy,17,1.88,32,Programming,8,Medium,5,Full,89.85
MCQ,Easy,6,8.92,68,Math,8,Medium,8,None,43.02
Essay,Hard,1,5.44,175,Science,3,Medium,8,None,59.83
Essay,Medium,8,1.78,133,Programming,10,Medium,7,Full,80.24
MCQ,Easy,14,4.91,35,Math,10,Low,7,None,68.15
Essay,Hard,18,6.94,21,Math,9,Low,9,Full,71.22
Essay,Easy,2,4.17,113,History,8,High,9,Partial,32.99
Essay,Medium,7,9.71,109,Literature,3,Medium,8,None,75.87
Coding,Easy,20,9.66,113,Science,2,Medium,4,Partial,153.82
Essay,Hard,16,6.1,64,Literature,3,Medium,5,None,193.62
Essay,Medium,14,1.74,170,History,5,Low,6,Full,172.99
MCQ,Hard,13,2.18,43,Literature,3,Medium,3,None,265.06
Coding,Easy,16,8.99,35,Literature,5,Low,1,Full,89.95
Essay,Medium,5,4.55,55,Literature,6,Medium,2,None,62.97
Essay,Hard,2,6.15,51,History,10,High,3,Full,26.81
Coding,Easy,8,9.39,30,Literature,9,Low,1,Partial,29.49
MCQ,Easy,17,8.83,96,Literature,2,Medium,4,None,154.82
Essay,Medium,9,5.79,98,Literature,8,Low,9,Full,52.23
Coding,Medium,2,2.63,136,History,2,High,10,Full,59.7
Essay,Easy,17,1.67,64,Science,6,High,6,None,138.68
Coding,Easy,4,9.48,93,Programming,6,High,8,Full,34.54
Coding,Medium,8,8.95,169,Literature,1,Medium,3,Partial,127.85
MCQ,Easy,17,9.19,73,Science,8,Low,9,Partial,63.4
Coding,Medium,1,5.64,115,Math,4,High,7,Partial,40.6
MCQ,Easy,5,1.73,122,Math,2,Low,4,Partial,110.62
Essay,Easy,11,8.79,126,Programming,9,Low,5,Full,73.88
Essay,Medium,19,5.33,160,Literature,7,Medium,1,None,213.33
Coding,Hard,20,1.71,90,Programming,4,High,5,Partial,273.77
MCQ,Easy,11,9.44,95,Literature,7,High,2,Full,64.46
Coding,Hard,11,4.05,132,Math,3,Medium,5,Partial,169.25
MCQ,Easy,17,1.72,113,Literature,4,Medium,6,Full,152.89
Essay,Easy,14,9.7,128,Programming,5,Low,6,None,100.24
Essay,Medium,14,8.78,133,Literature,5,High,8,Full,84.01
Essay,Easy,17,8.6,70,Science,9,High,4,Full,57.86
Coding,Medium,11,5.55,77,Literature,7,Medium,10,None,78.18
Essay,Hard,4,3.71,124,History,5,High,1,Partial,73.67
Essay,Medium,5,5.43,40,Science,5,Medium,2,None,52.38
MCQ,Medium,18,8.06,42,Science,5,Low,10,None,87.91
MCQ,Medium,15,6.41,75,Science,5,High,2,Full,89.33
Essay,Medium,18,3.18,19,Literature,3,Medium,9,Full,113.4
MCQ,Easy,5,6.02,118,History,2,High,7,Partial,62.76
Essay,Medium,14,6.35,22,Programming,7,Low,10,None,71.53
Essay,Easy,20,5.14,160,Math,3,Low,8,Partial,170.07
MCQ,Easy,16,2.17,69,History,9,Medium,6,Full,79.94
MCQ,Hard,7,5.43,86,Programming,3,Low,2,None,127.05
Coding,Medium,6,3.55,138,Programming,10,Medium,7,Full,71.95
MCQ,Easy,15,3.47,89,Science,1,Medium,6,Full,151.04
MCQ,Medium,14,5.22,133,History,9,High,7,Full,71.82
Essay,Hard,18,4.31,124,Science,9,High,2,Full,126.37
MCQ,Medium,15,6.28,109,Math,5,Medium,5,Partial,118.47
Essay,Medium,8,3.32,156,History,2,Low,6,Partial,139.65
Coding,Medium,19,4.68,175,Programming,2,Medium,9,None,227.24
Essay,Medium,13,1.88,70,Math,8,High,8,Full,68.61
Coding,Easy,4,7.75,56,Science,3,High,8,Full,38.78
Coding,Medium,14,8.75,105,Math,2,Low,9,Full,100.41
Coding,Medium,7,5.48,117,Literature,4,Medium,5,None,86.05
Coding,Medium,1,9.03,178,History,2,Medium,8,Full,56.32
Coding,Medium,20,8.14,75,Programming,1,Low,2,None,294.18
Essay,Hard,3,1.14,108,Math,8,High,6,Partial,57.54
Essay,Hard,11,2.83,119,Science,1,Low,6,None,274.79
Coding,Easy,10,5.92,37,Science,2,Low,5,Partial,80.15
Coding,Easy,11,9.24,156,Math,7,High,10,Full,53.8
Essay,Hard,20,2.6,74,Science,5,Low,7,None,265.01
Essay,Easy,1,9.5,80,Science,6,Low,6,Full,26.07
MCQ,Hard,6,3.39,116,Literature,2,Low,8,Full,95.84
Coding,Medium,19,4.15,115,Literature,3,Medium,8,Full,155.39
Coding,Easy,17,9.92,102,Math,1,Medium,10,Partial,98.73
Coding,Hard,19,4.54,46,Literature,5,Low,2,Partial,221.63
MCQ,Hard,5,5.54,52,Math,8,Medium,7,None,45.54
Coding,Easy,12,6.62,56,Programming,10,Medium,2,None,62.61
Essay,Medium,20,5.59,63,History,10,High,1,Partial,107.07
Coding,Medium,14,3.85,24,Literature,10,Low,4,Full,73.76
Coding,Easy,15,2.7,58,Literature,7,Medium,1,None,155.95
Coding,Hard,7,4.32,153,Programming,5,High,4,Partial,95.08
MCQ,Hard,13,4.0,67,Science,1,Low,5,None,278.01
Essay,Hard,19,5.13,16,History,10,Low,2,Full,114.65
MCQ,Medium,5,4.3,144,Science,3,Medium,8,Full,63.78
MCQ,Medium,15,3.46,124,Science,7,Medium,10,Partial,105.66
Coding,Hard,6,7.97,32,Programming,6,High,3,Full,32.34
Essay,Easy,9,3.79,18,Math,3,Low,4,None,94.82
MCQ,Hard,15,8.26,153,Literature,6,Low,10,Full,90.09
Essay,Hard,15,1.39,155,History,7,Medium,2,Partial,232.22
Essay,Hard,13,5.04,50,History,9,High,8,Partial,60.53
Coding,Easy,20,3.96,107,Math,5,High,8,Full,105.0
MCQ,Easy,13,7.29,58,Literature,7,High,8,Partial,54.81
MCQ,Easy,10,2.25,20,Science,5,Medium,7,Full,65.82
MCQ,Hard,3,3.87,37,Literature,7,High,2,None,39.65
Essay,Medium,6,4.99,62,Literature,3,High,10,Full,48.55
Essay,Easy,14,1.49,140,History,10,Low,6,None,139.22
Coding,Hard,1,8.03,97,Programming,4,Medium,8,Partial,36.62
MCQ,Easy,5,9.85,75,Math,2,High,7,None,41.4
Coding,Medium,13,5.58,29,Programming,3,Medium,5,None,132.53
Coding,Easy,3,8.69,75,Math,6,Low,3,Partial,26.96
Coding,Medium,15,7.91,163,Literature,8,Medium,7,None,121.34
Essay,Hard,20,5.78,15,Science,10,Low,2,Full,109.97
Coding,Easy,4,9.36,134,Programming,5,High,3,Full,56.37
MCQ,Easy,7,3.99,53,Programming,4,Low,3,None,86.48
MCQ,Easy,2,5.66,172,History,4,Medium,4,Partial,68.93
Essay,Easy,19,4.84,53,Math,2,High,5,None,184.06
Essay,Hard,11,4.83,112,Literature,10,Low,2,Full,100.97
MCQ,Medium,13,3.65,85,History,4,High,2,None,171.28
MCQ,Hard,10,5.51,141,Math,7,Low,9,None,113.76
Coding,Easy,19,8.61,82,Math,7,Low,4,Full,87.13
MCQ,Medium,12,8.22,35,Programming,7,High,10,Full,32.32
MCQ,Medium,1,7.36,180,Science,9,Low,8,None,61.43
Essay,Easy,4,2.58,85,Science,5,High,3,Partial,44.44
Essay,Easy,18,3.94,36,Programming,8,High,2,None,111.63
MCQ,Easy,8,1.5,149,Literature,5,Low,8,Partial,113.13
Coding,Hard,12,9.6,22,Programming,6,High,5,None,63.01
MCQ,Hard,19,3.38,117,Programming,8,High,3,Full,147.44
Coding,Hard,3,1.64,59,Science,2,Medium,3,Full,74.27
MCQ,Hard,17,5.46,172,History,8,Medium,10,Full,96.29
Essay,Hard,5,9.8,36,History,3,Low,9,Partial,32.03
Essay,Hard,19,5.55,83,History,3,Low,2,Full,221.0
Essay,Medium,17,3.21,28,Literature,5,Low,9,Full,100.18
