QuestionID,StudentID,AnswerLength,TimeTaken,Correctness,Grade,QuestionType,Subject,Difficulty
Q45,S6,328,174.19,40,4.6,Multiple Choice,Science,Easy
Q46,S63,535,28.36,46,4.5,Short Answer,Math,Medium
Q47,S4,639,61.28,63,6.0,Short Answer,Literature,Medium
Q48,S12,607,64.32,40,3.0,Short Answer,Geography,Medium
Q49,S54,492,13.78,57,5.9,Short Answer,Geography,Medium
Q50,S58,756,179.71,40,3.7,Multiple Choice,Geography,Easy
Q1,S82,28,43.23,27,2.0,Essay,Math,Easy
Q2,S47,962,123.13,2,0.4,Multiple Choice,Geography,Medium
Q3,S19,104,113.36,82,7.6,Short Answer,Science,Hard
Q4,S37,539,145.71,55,5.2,Multiple Choice,Math,Easy
Q5,S35,859,139.14,79,8.8,Short Answer,Math,Hard
Q6,S61,909,143.99,35,2.9,Essay,Science,Medium
Q7,S63,407,36.61,15,2.4,Essay,Geography,Medium
Q8,S29,688,28.41,41,3.3,Multiple Choice,History,Medium
Q9,S73,409,68.37,14,1.3,Multiple Choice,History,Medium
Q10,S47,161,87.1,24,1.4,Essay,Literature,Medium
Q11,S2,793,36.04,58,5.6,Essay,Math,Hard
Q12,S55,586,113.36,8,1.8,Essay,Literature,Hard
Q13,S2,848,173.09,77,8.0,Short Answer,History,Medium
Q14,S37,317,48.42,26,2.7,Essay,Literature,Easy
Q15,S7,299,155.5,95,10.0,Multiple Choice,Science,Hard
Q16,S76,117,66.11,47,4.4,Essay,Science,Hard
Q17,S57,735,100.98,14,2.1,Essay,Geography,Medium
Q18,S42,852,52.65,47,5.5,Short Answer,History,Easy
Q19,S56,766,106.55,55,5.6,Essay,Geography,Hard
Q20,S98,381,153.77,1,-0.3,Short Answer,Math,Easy
Q21,S19,44,117.69,23,1.8,Essay,Math,Easy
Q22,S39,370,136.14,60,5.4,Multiple Choice,Science,Medium
Q23,S64,360,88.34,8,0.2,Short Answer,Literature,Easy
Q24,S12,452,42.13,30,3.7,Essay,History,Hard
Q25,S75,274,69.09,33,3.8,Essay,Science,Easy
Q26,S82,322,166.69,17,1.8,Essay,Geography,Hard
Q27,S46,717,4.38,30,3.4,Short Answer,Geography,Medium
Q28,S47,863,133.51,85,7.8,Essay,Literature,Medium
Q29,S76,677,169.06,36,4.3,Multiple Choice,History,Hard
Q30,S32,97,47.59,58,5.0,Essay,Math,Medium
Q31,S36,979,43.45,26,1.9,Essay,History,Hard
Q32,S60,106,179.45,67,6.2,Multiple Choice,History,Hard
Q33,S41,564,44.83,76,7.3,Multiple Choice,Math,Easy
Q34,S78,59,85.35,3,0.9,Essay,Geography,Easy
Q35,S24,877,170.01,37,3.7,Essay,Literature,Easy
Q36,S43,157,66.37,23,3.0,Multiple Choice,Science,Hard
Q37,S37,851,128.13,45,4.2,Essay,Geography,Easy
Q38,S22,710,106.73,47,4.3,Essay,History,Hard
Q39,S54,486,20.28,1,1.0,Short Answer,Literature,Hard
Q40,S54,48,112.03,89,9.7,Multiple Choice,Science,Hard
Q41,S50,22,83.54,47,5.3,Multiple Choice,Math,Hard
Q42,S14,990,43.75,41,4.5,Essay,Science,Easy
Q43,S9,143,106.26,93,8.8,Short Answer,Geography,Medium
Q44,S81,605,163.16,42,5.0,Essay,Literature,Hard
Q45,S14,804,9.14,47,3.9,Essay,Math,Easy
Q46,S80,857,163.73,66,7.3,Short Answer,Science,Hard
Q47,S51,381,123.03,45,4.1,Multiple Choice,Science,Hard
Q48,S69,19,147.01,7,-0.2,Multiple Choice,Math,Medium
Q49,S60,309,72.97,50,4.7,Short Answer,Literature,Easy
Q50,S34,809,61.97,47,4.8,Multiple Choice,Math,Medium
Q1,S32,241,78.09,21,2.2,Essay,Science,Medium
Q2,S23,95,161.82,62,5.5,Short Answer,Math,Hard
Q3,S7,657,26.48,55,5.3,Essay,History,Easy
Q4,S28,209,77.64,6,-0.1,Short Answer,History,Medium
Q5,S47,845,85.19,71,7.2,Short Answer,Geography,Easy
Q6,S32,448,105.38,58,6.6,Essay,Math,Easy
Q7,S35,660,99.61,93,9.1,Multiple Choice,Science,Easy
Q8,S98,626,124.68,100,10.7,Short Answer,Literature,Hard
Q9,S84,432,153.68,23,2.0,Short Answer,Science,Medium
Q10,S80,245,26.73,41,3.7,Multiple Choice,Geography,Medium
Q11,S15,192,46.44,58,5.8,Multiple Choice,History,Easy
Q12,S22,218,114.62,26,2.6,Essay,Literature,Medium
Q13,S62,76,142.32,45,4.9,Short Answer,Literature,Hard
Q14,S27,524,110.82,92,8.8,Short Answer,History,Easy
Q15,S59,939,76.17,75,8.3,Short Answer,Geography,Easy
Q16,S2,670,39.78,50,4.9,Multiple Choice,Literature,Easy
Q17,S24,221,143.61,75,8.4,Short Answer,Math,Hard
Q18,S36,198,143.01,19,2.1,Multiple Choice,History,Easy
Q19,S46,475,10.64,58,5.8,Short Answer,Math,Medium
Q20,S1,874,158.96,58,5.7,Essay,History,Hard
Q21,S98,348,5.42,73,7.2,Short Answer,Geography,Easy
Q22,S60,540,82.64,25,3.0,Multiple Choice,Literature,Easy
Q23,S16,245,79.02,98,9.6,Multiple Choice,History,Hard
Q24,S43,473,146.32,34,3.0,Essay,Literature,Medium
Q25,S14,294,6.04,47,4.5,Essay,Geography,Medium
Q26,S29,81,163.67,45,4.1,Multiple Choice,Math,Hard
Q27,S9,749,5.88,94,9.0,Essay,History,Hard
Q28,S54,770,143.67,53,5.6,Essay,Literature,Easy
Q29,S31,878,25.44,41,4.1,Essay,Math,Easy
Q30,S15,372,45.32,46,5.6,Multiple Choice,Math,Hard
Q31,S14,638,41.21,35,3.3,Essay,Math,Easy
Q32,S8,7,25.18,54,4.7,Essay,Math,Medium
Q33,S48,187,105.17,93,8.7,Essay,Science,Easy
Q34,S74,471,109.82,6,0.1,Short Answer,Geography,Easy
Q35,S53,175,37.87,65,7.1,Multiple Choice,Geography,Hard
Q36,S23,58,122.88,83,8.4,Short Answer,Math,Easy
Q37,S90,329,5.11,74,6.8,Multiple Choice,Geography,Hard
Q38,S94,594,40.59,82,9.1,Short Answer,Literature,Hard
Q39,S65,471,139.92,24,1.5,Multiple Choice,Math,Easy
Q40,S84,476,142.05,93,9.0,Multiple Choice,Math,Hard
Q41,S27,289,66.39,78,8.1,Multiple Choice,Math,Hard
Q42,S33,112,10.43,94,8.7,Multiple Choice,Geography,Hard
Q43,S54,446,126.78,32,3.3,Multiple Choice,Geography,Hard
Q44,S90,713,124.73,35,4.1,Essay,Math,Medium
Q45,S60,859,152.37,75,8.3,Multiple Choice,Math,Medium
Q46,S36,219,119.19,17,2.2,Essay,Science,Easy
Q47,S47,907,57.52,39,4.8,Essay,Geography,Medium
Q48,S20,98,87.49,89,9.5,Multiple Choice,History,Easy
Q49,S78,647,63.56,81,7.2,Short Answer,Science,Medium
Q50,S20,793,9.13,98,10.0,Essay,Geography,Hard
Q1,S71,227,128.7,84,8.4,Essay,Science,Hard
Q2,S22,971,165.89,70,6.2,Multiple Choice,Literature,Hard
Q3,S27,1000,104.14,37,2.8,Multiple Choice,Science,Medium
Q4,S45,31,138.43,97,8.8,Short Answer,Math,Easy
Q5,S58,251,125.1,39,3.6,Short Answer,Geography,Easy
Q6,S39,703,167.3,84,8.0,Multiple Choice,Geography,Easy
Q7,S2,164,136.48,58,6.6,Short Answer,History,Hard
Q8,S22,227,80.24,76,8.3,Short Answer,Science,Hard
Q9,S27,761,151.54,23,2.4,Short Answer,Geography,Hard
Q10,S98,470,138.1,20,1.7,Multiple Choice,Science,Easy
Q11,S14,392,29.07,93,8.5,Short Answer,Science,Medium
Q12,S86,288,12.02,100,10.0,Multiple Choice,Geography,Medium
Q13,S90,316,59.52,88,9.6,Multiple Choice,History,Easy
Q14,S79,820,63.31,76,8.5,Short Answer,Science,Medium
Q15,S9,265,94.26,15,2.5,Multiple Choice,Math,Medium
Q16,S75,894,85.91,75,8.2,Multiple Choice,Geography,Medium
Q17,S11,926,173.05,62,5.9,Multiple Choice,Geography,Medium
Q18,S9,505,155.53,71,7.0,Essay,Geography,Hard
Q19,S16,407,108.96,88,9.5,Short Answer,Geography,Medium
Q20,S13,508,42.08,89,9.6,Essay,Science,Medium
Q21,S17,407,158.59,55,4.8,Multiple Choice,Science,Easy
Q22,S50,904,12.11,40,3.4,Essay,Literature,Easy
Q23,S43,369,27.25,96,10.1,Essay,Math,Hard
Q24,S74,294,97.73,84,7.7,Short Answer,Science,Medium
Q25,S26,496,119.32,74,6.6,Essay,History,Medium
Q26,S45,715,62.74,64,6.5,Multiple Choice,History,Medium
Q27,S71,926,40.74,33,3.5,Multiple Choice,Geography,Easy
Q28,S72,949,39.83,43,3.8,Essay,Literature,Easy
Q29,S18,655,50.61,41,4.8,Multiple Choice,Literature,Easy
Q30,S52,139,120.3,49,4.2,Short Answer,Geography,Medium
Q31,S17,536,138.37,98,8.8,Multiple Choice,Literature,Hard
Q32,S59,790,94.34,100,10.7,Essay,Literature,Medium
Q33,S76,461,33.83,27,3.6,Essay,Math,Medium
Q34,S89,413,125.07,62,5.4,Multiple Choice,Science,Hard
Q35,S51,116,171.82,17,1.7,Multiple Choice,Math,Hard
Q36,S76,368,117.67,2,-0.7,Short Answer,Math,Hard
Q37,S52,883,65.93,83,7.6,Multiple Choice,Geography,Easy
Q38,S76,697,170.41,7,0.8,Essay,Math,Easy
Q39,S18,847,50.72,58,4.9,Short Answer,Math,Easy
Q40,S6,689,28.64,32,4.1,Multiple Choice,Math,Hard
Q41,S60,66,32.36,21,2.9,Short Answer,History,Medium
Q42,S74,554,55.11,75,8.4,Multiple Choice,History,Hard
Q43,S39,548,93.96,0,0.5,Multiple Choice,History,Hard
Q44,S10,130,119.55,62,5.4,Essay,Math,Easy
Q45,S90,664,34.66,74,8.2,Multiple Choice,Science,Medium
Q46,S26,916,75.02,43,4.7,Multiple Choice,Math,Hard
Q47,S29,374,116.42,33,2.9,Essay,Literature,Hard
Q48,S58,190,174.18,69,7.9,Essay,Geography,Medium
Q49,S31,998,122.85,84,9.0,Essay,Science,Hard
Q50,S56,532,8.57,76,8.1,Multiple Choice,History,Hard
Q1,S83,418,146.55,5,-0.0,Multiple Choice,History,Medium
Q2,S55,974,135.02,87,9.1,Short Answer,Science,Hard
Q3,S74,997,113.11,99,9.5,Multiple Choice,Literature,Easy
Q4,S97,482,65.1,11,1.0,Multiple Choice,Literature,Easy
Q5,S30,73,26.19,96,9.9,Short Answer,Math,Medium
Q6,S62,80,124.23,79,8.4,Essay,Science,Easy
Q7,S81,242,34.57,53,6.0,Short Answer,Math,Easy
Q8,S58,23,93.8,51,5.7,Essay,Literature,Hard
Q9,S41,320,150.87,72,6.9,Short Answer,Literature,Easy
Q10,S37,869,6.14,41,3.6,Short Answer,Literature,Hard
Q11,S6,179,126.2,32,2.7,Short Answer,Geography,Medium
Q12,S80,343,170.5,30,2.3,Multiple Choice,History,Medium
Q13,S61,56,70.09,60,6.9,Short Answer,Literature,Medium
Q14,S9,959,169.38,32,3.3,Short Answer,History,Medium
Q15,S10,204,5.55,89,9.1,Essay,History,Medium
Q16,S34,937,156.79,45,5.4,Essay,Literature,Medium
Q17,S74,168,94.51,62,6.0,Multiple Choice,Science,Medium
Q18,S44,532,162.41,23,1.5,Multiple Choice,Math,Hard
Q19,S95,600,156.37,67,7.3,Essay,Geography,Easy
Q20,S4,22,25.42,94,8.8,Short Answer,Science,Hard
Q21,S96,703,147.96,26,2.7,Multiple Choice,Science,Easy
Q22,S25,619,114.36,63,6.2,Essay,Literature,Medium
Q23,S54,190,156.64,29,3.0,Short Answer,Literature,Medium
Q24,S45,173,124.88,78,7.2,Essay,Literature,Easy
Q25,S64,596,90.78,80,8.2,Essay,Math,Hard
Q26,S57,417,101.23,15,0.8,Multiple Choice,Literature,Hard
Q27,S38,743,126.98,29,3.9,Short Answer,Math,Medium
Q28,S58,133,19.94,92,10.1,Short Answer,Literature,Medium
Q29,S14,473,131.17,24,1.6,Multiple Choice,Science,Medium
Q30,S69,110,27.5,9,1.4,Multiple Choice,Geography,Easy
Q31,S26,874,63.97,6,1.3,Short Answer,Literature,Easy
Q32,S92,945,26.56,39,3.6,Multiple Choice,Literature,Medium
Q33,S74,851,75.76,43,4.9,Multiple Choice,Science,Medium
Q34,S65,195,29.37,13,1.0,Multiple Choice,History,Medium
Q35,S78,768,30.99,39,4.3,Essay,History,Medium
Q36,S23,422,132.03,10,0.9,Short Answer,Math,Medium
Q37,S28,59,17.08,33,2.6,Essay,History,Easy
Q38,S43,323,100.58,49,5.2,Essay,Math,Easy
Q39,S29,230,6.68,56,6.2,Multiple Choice,Science,Easy
Q40,S33,216,46.58,3,0.1,Essay,Literature,Easy
Q41,S48,327,175.28,50,4.3,Essay,Science,Hard
Q42,S44,888,152.26,20,2.7,Multiple Choice,Science,Hard
Q43,S60,356,103.24,97,9.7,Multiple Choice,Geography,Medium
Q44,S56,89,38.95,65,6.3,Short Answer,Science,Medium
Q45,S91,628,18.53,61,5.6,Essay,Literature,Easy
Q46,S16,742,129.38,71,6.4,Multiple Choice,Geography,Hard
Q47,S14,566,8.42,60,5.6,Multiple Choice,Math,Easy
Q48,S95,125,176.77,82,9.2,Short Answer,Science,Easy
Q49,S65,487,65.24,71,6.9,Short Answer,Literature,Easy
Q50,S25,268,104.08,77,8.1,Essay,Science,Easy
Q1,S46,948,29.2,92,8.9,Short Answer,Geography,Hard
Q2,S66,447,8.19,24,3.0,Multiple Choice,History,Easy
Q3,S30,336,161.05,22,2.8,Multiple Choice,Literature,Hard
Q4,S53,235,96.7,67,6.9,Multiple Choice,Science,Hard
Q5,S93,818,35.73,76,7.4,Multiple Choice,Geography,Hard
Q6,S32,390,162.52,100,10.8,Multiple Choice,Math,Easy
Q7,S40,659,101.43,88,9.7,Short Answer,Science,Medium
Q8,S88,763,49.29,31,2.5,Short Answer,Math,Hard
Q9,S3,484,38.31,17,2.4,Multiple Choice,Literature,Medium
Q10,S15,780,32.15,32,2.3,Essay,Science,Hard
Q11,S100,356,71.64,44,4.1,Short Answer,Math,Medium
Q12,S13,956,129.78,55,5.4,Short Answer,Geography,Medium
Q13,S28,139,37.1,31,3.5,Multiple Choice,Science,Easy
Q14,S51,935,4.25,93,9.5,Short Answer,Literature,Hard
Q15,S86,657,139.68,92,9.1,Essay,Literature,Hard
Q16,S56,73,141.83,99,10.1,Short Answer,History,Hard
Q17,S85,757,42.43,17,1.0,Short Answer,Science,Easy
Q18,S73,734,138.05,1,0.4,Essay,Math,Hard
Q19,S71,709,10.8,60,6.0,Multiple Choice,Science,Hard
Q20,S18,461,36.5,63,5.6,Essay,History,Hard
Q21,S51,418,78.65,56,5.1,Short Answer,History,Easy
Q22,S38,49,134.04,87,9.3,Multiple Choice,Science,Hard
Q23,S36,927,149.04,79,8.7,Short Answer,History,Medium
Q24,S37,330,110.28,14,1.4,Short Answer,Literature,Easy
Q25,S24,463,17.03,53,5.3,Essay,History,Medium
Q26,S34,584,109.01,57,5.3,Multiple Choice,Science,Medium
Q27,S18,289,9.8,21,2.3,Multiple Choice,History,Medium
Q28,S78,930,33.85,91,8.8,Short Answer,Geography,Hard
Q29,S87,342,78.66,94,8.5,Essay,Math,Easy
Q30,S62,598,56.39,16,2.2,Multiple Choice,Science,Easy
Q31,S78,46,1.99,22,3.1,Short Answer,Science,Easy
Q32,S53,112,53.44,54,4.5,Multiple Choice,History,Medium
Q33,S58,810,147.93,47,5.0,Short Answer,Geography,Easy
Q34,S23,653,23.4,59,5.3,Multiple Choice,Literature,Easy
Q35,S20,342,101.16,41,4.5,Multiple Choice,Science,Easy
Q36,S26,913,45.03,91,8.3,Multiple Choice,Science,Easy
Q37,S17,124,98.83,9,1.6,Multiple Choice,Geography,Hard
Q38,S82,364,100.92,70,7.4,Short Answer,Science,Easy
Q39,S39,506,30.43,70,7.1,Essay,Literature,Medium
Q40,S39,205,63.48,9,0.2,Multiple Choice,Literature,Hard
Q41,S86,195,81.69,82,8.4,Short Answer,Science,Medium
Q42,S4,893,47.02,16,1.7,Essay,Science,Hard
Q43,S83,259,131.79,33,2.7,Essay,History,Hard
Q44,S42,655,163.44,32,2.4,Short Answer,Literature,Medium
Q45,S35,18,18.15,100,10.6,Short Answer,Math,Hard
Q46,S43,582,72.4,85,7.9,Multiple Choice,History,Easy
Q47,S87,364,63.95,23,1.8,Essay,Math,Hard
Q48,S69,760,36.86,14,1.1,Essay,Literature,Hard
Q49,S54,534,76.14,54,5.5,Short Answer,Literature,Easy
Q50,S8,290,162.58,26,1.7,Essay,Geography,Medium
Q1,S6,649,93.53,70,6.4,Multiple Choice,Geography,Medium
Q2,S38,700,50.84,48,4.8,Multiple Choice,Math,Hard
Q3,S70,462,98.26,39,4.5,Multiple Choice,History,Medium
Q4,S63,530,112.78,31,2.4,Essay,History,Easy
Q5,S17,500,157.87,60,6.2,Short Answer,Literature,Hard
Q6,S36,324,124.62,83,9.1,Essay,Literature,Medium
Q7,S92,177,83.85,4,0.2,Essay,History,Easy
Q8,S36,823,175.78,43,5.0,Multiple Choice,Geography,Easy
Q9,S76,740,139.67,30,2.7,Short Answer,Geography,Medium
Q10,S76,461,54.63,8,1.4,Short Answer,Math,Easy
Q11,S48,874,22.41,85,8.1,Essay,Math,Medium
Q12,S28,82,165.26,94,10.3,Multiple Choice,Math,Medium
Q13,S20,900,45.35,92,8.8,Essay,Math,Hard
Q14,S50,303,10.65,28,2.7,Short Answer,Geography,Easy
Q15,S6,110,140.24,49,4.1,Short Answer,Geography,Medium
Q16,S17,390,69.74,57,5.8,Essay,Geography,Easy
Q17,S16,74,95.32,39,4.7,Multiple Choice,History,Hard
Q18,S82,324,10.03,12,0.6,Multiple Choice,Math,Easy
Q19,S22,561,18.49,82,7.9,Multiple Choice,Geography,Easy
Q20,S69,483,102.92,50,5.9,Essay,Geography,Hard
Q21,S20,855,85.7,40,4.4,Short Answer,History,Medium
Q22,S62,158,83.61,100,9.3,Short Answer,Science,Hard
Q23,S97,756,92.25,59,5.3,Essay,Math,Easy
Q24,S23,705,26.84,36,4.2,Multiple Choice,Literature,Easy
Q25,S8,821,112.76,63,5.8,Short Answer,Science,Medium
Q26,S52,767,59.7,21,3.1,Essay,Literature,Medium
Q27,S17,959,57.36,82,8.6,Multiple Choice,Geography,Easy
Q28,S21,623,10.56,100,9.9,Short Answer,Science,Medium
Q29,S7,220,170.89,100,9.4,Essay,Science,Easy
Q30,S88,961,22.95,59,6.1,Multiple Choice,History,Medium
Q31,S41,85,169.76,77,8.3,Multiple Choice,Math,Hard
Q32,S18,105,155.99,53,5.5,Essay,Literature,Hard
Q33,S96,711,137.6,63,6.0,Essay,Science,Easy
Q34,S64,482,111.67,39,4.7,Short Answer,Math,Hard
Q35,S28,357,65.25,88,8.2,Multiple Choice,History,Easy
Q36,S47,664,34.86,22,2.2,Short Answer,Math,Easy
Q37,S20,447,42.32,43,5.0,Essay,Geography,Hard
Q38,S59,202,90.48,48,4.6,Essay,Science,Medium
Q39,S62,65,65.82,94,9.4,Essay,Math,Easy
Q40,S84,825,129.33,44,4.8,Essay,Math,Hard
Q41,S32,995,108.34,98,9.0,Essay,History,Hard
Q42,S13,914,8.23,76,7.2,Essay,History,Medium
Q43,S98,499,1.19,87,8.5,Short Answer,Literature,Hard
Q44,S7,589,104.55,92,10.0,Multiple Choice,Math,Easy
Q45,S52,903,10.25,79,8.5,Essay,History,Medium
Q46,S10,833,131.13,60,5.4,Multiple Choice,Geography,Medium
Q47,S1,254,37.9,96,10.3,Multiple Choice,Literature,Hard
Q48,S52,643,93.04,0,-0.9,Essay,Science,Easy
Q49,S77,366,79.98,80,7.2,Multiple Choice,Math,Medium
Q50,S9,30,97.58,48,4.4,Essay,Literature,Easy
Q1,S83,718,26.42,84,7.5,Short Answer,History,Hard
Q2,S50,787,84.52,93,9.7,Essay,Science,Easy
Q3,S17,985,78.58,28,3.7,Short Answer,History,Easy
Q4,S64,720,11.99,100,10.0,Short Answer,History,Medium
Q5,S17,47,109.28,55,6.4,Multiple Choice,Math,Easy
Q6,S81,809,163.16,21,1.1,Short Answer,Literature,Hard
Q7,S84,23,34.59,66,7.2,Multiple Choice,Science,Easy
Q8,S25,635,76.63,61,6.9,Essay,History,Hard
Q9,S95,941,125.48,11,1.9,Multiple Choice,Science,Medium
Q10,S59,161,117.02,72,7.4,Short Answer,Math,Easy
Q11,S66,43,19.68,26,3.0,Short Answer,Science,Medium
Q12,S76,549,104.15,5,0.8,Multiple Choice,Geography,Medium
Q13,S22,745,30.95,70,8.0,Multiple Choice,Math,Easy
Q14,S11,230,166.87,36,4.3,Multiple Choice,Geography,Hard
Q15,S34,128,102.72,67,7.4,Short Answer,Science,Hard
Q16,S21,53,170.05,20,1.0,Multiple Choice,Literature,Medium
Q17,S45,555,99.54,32,2.8,Essay,Geography,Medium
Q18,S50,805,55.05,76,7.1,Short Answer,History,Hard
Q19,S11,1000,163.57,42,4.4,Short Answer,Literature,Easy
Q20,S56,534,115.68,26,1.8,Multiple Choice,History,Medium
Q21,S3,677,173.96,15,0.8,Essay,Science,Easy
Q22,S42,121,97.63,84,7.9,Multiple Choice,Geography,Easy
Q23,S60,101,168.93,36,4.5,Multiple Choice,Science,Hard
Q24,S75,328,13.71,53,5.7,Essay,Literature,Medium
Q25,S98,581,126.39,12,1.1,Short Answer,Geography,Hard
Q26,S77,763,105.39,12,0.4,Multiple Choice,Geography,Hard
Q27,S40,816,91.51,80,8.5,Essay,Geography,Hard
Q28,S64,613,66.48,15,1.8,Short Answer,Geography,Medium
Q29,S40,310,135.57,59,5.6,Short Answer,Math,Hard
Q30,S90,719,99.51,79,7.1,Short Answer,Science,Hard
Q31,S22,585,85.26,84,8.8,Essay,Geography,Hard
Q32,S21,521,132.18,29,3.2,Short Answer,Science,Easy
Q33,S97,798,1.39,24,3.3,Short Answer,Literature,Medium
Q34,S69,522,33.45,23,3.0,Multiple Choice,Geography,Hard
Q35,S1,275,88.01,23,2.3,Essay,History,Hard
Q36,S77,695,81.57,86,8.1,Essay,Science,Medium
Q37,S8,269,59.04,46,5.0,Multiple Choice,Geography,Hard
Q38,S76,486,33.35,86,8.0,Short Answer,Science,Easy
Q39,S37,37,21.62,34,3.6,Short Answer,Geography,Hard
Q40,S8,926,128.18,48,5.2,Short Answer,Science,Hard
Q41,S19,963,143.37,65,6.1,Multiple Choice,Geography,Easy
Q42,S81,19,104.99,34,4.1,Multiple Choice,Math,Easy
Q43,S42,414,14.36,79,8.5,Short Answer,History,Hard
Q44,S27,942,110.1,5,-0.2,Short Answer,Math,Medium
Q45,S12,983,175.89,83,7.8,Essay,History,Easy
Q46,S55,117,158.66,70,6.1,Short Answer,Science,Medium
Q47,S39,33,122.91,29,3.3,Essay,History,Hard
Q48,S44,577,175.85,58,5.1,Essay,Literature,Medium
Q49,S78,86,174.88,99,9.0,Essay,Science,Hard
Q50,S7,858,154.32,18,1.4,Multiple Choice,Science,Easy
Q1,S47,373,52.42,97,8.8,Essay,Science,Medium
Q2,S15,211,137.4,31,2.8,Short Answer,Geography,Medium
Q3,S60,991,104.46,12,0.5,Short Answer,Literature,Hard
Q4,S93,272,171.71,83,8.1,Essay,Math,Hard
Q5,S93,74,30.73,99,9.6,Essay,Math,Hard
Q6,S62,177,110.33,58,6.4,Multiple Choice,History,Hard
Q7,S29,324,113.86,31,2.3,Short Answer,Math,Medium
Q8,S92,409,64.98,5,1.3,Essay,Math,Medium
Q9,S89,981,33.15,82,7.8,Essay,History,Easy
Q10,S95,944,100.59,17,1.1,Multiple Choice,Literature,Hard
Q11,S2,25,8.03,9,1.2,Short Answer,History,Easy
Q12,S26,423,126.07,36,4.6,Essay,Literature,Hard
Q13,S87,589,145.54,3,0.4,Multiple Choice,Science,Medium
Q14,S35,279,90.28,72,6.8,Essay,Math,Hard
Q15,S5,26,63.88,15,0.7,Short Answer,Math,Hard
Q16,S51,537,11.44,6,1.1,Short Answer,Literature,Medium
Q17,S81,836,83.08,85,8.1,Short Answer,History,Easy
Q18,S10,927,112.63,12,0.8,Essay,Literature,Easy
Q19,S77,771,15.17,12,0.9,Essay,Math,Easy
Q20,S88,728,48.69,30,3.3,Short Answer,Science,Easy
Q21,S33,303,5.99,28,3.3,Essay,Literature,Easy
Q22,S69,957,160.33,28,2.6,Essay,History,Hard
Q23,S83,626,57.09,82,9.1,Essay,History,Medium
Q24,S39,259,38.22,79,7.7,Short Answer,Geography,Medium
Q25,S73,915,176.7,84,8.0,Multiple Choice,Math,Medium
Q26,S36,661,100.69,55,4.8,Short Answer,Math,Easy
Q27,S67,898,160.36,43,5.2,Short Answer,Math,Easy
Q28,S38,409,24.06,37,2.9,Multiple Choice,Geography,Hard
Q29,S87,703,68.38,22,1.3,Essay,Math,Easy
Q30,S51,829,2.91,35,3.2,Essay,Math,Hard
Q31,S34,704,61.21,76,8.4,Short Answer,Geography,Easy
Q32,S84,299,129.21,100,10.9,Multiple Choice,History,Easy
